679,386
684.667,383.667
688,365.667
688,347
688.333,347
688.667,331.333
690.333,317.333
686.667,308
683.333,305.667
683.333,305.667
681.333,310
683.667,320.333
687.333,331.333
688.333,341.667
688.333,341.667
689.667,351
691.667,357.333
692.667,363
693,365.333
693.333,365.333
693,365
692.667,364.333
692.333,363.667
692.333,363.667
692.333,363.667
692.333,364.333
693.333,365
694.667,366.333
695.667,368.333
695.667,368.333
697,369
698.333,370.333
702.333,374.333
709.667,378.333